NOME_SALA;REGISTRO_SALA;CNPJ_SALA;SITUACAO_SALA;DATA_SITUACAO_SALA;DATA_INICIO_FUNCIONAMENTO_SALA;ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;REGISTRO_COMPLEXO;SITUACAO_COMPLEXO;DATA_SITUACAO_COMPLEXO;PAGINA_ELETRONICA_COMPLEXO;ENDERECO_COMPLEXO;NUMERO_ENDERECO_COMPLEXO;COMPLEMENTO_COMPLEXO;BAIRRO_COMPLEXO;MUNICIPIO_COMPLEXO;CEP_COMPLEXO;UF_COMPLEXO;COMPLEXO_ITINERANTE;OPERACAO_USUAL;NOME_EXIBIDOR;REGISTRO_EXIBIDOR;CNPJ_EXIBIDOR;SITUACAO_EXIBIDOR;NOME_GRUPO_EXIBIDOR
CINE COMPANY JAGUARIUNA;5003332.0;10.615.866/0001-60;FECHADO;2011-08-29;2008-12-16;162.0;0.0;0.0;0.0;NÃO;NÃO;NÃO;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA.;19955;FECHADO;2011-08-29;0;RUA CANDIDO BUENO, 1299  SALA CINEMA;0.0;0;CENTRO;JAGUARIÚNA;13820-000;SP;NÃO;COMERCIAL;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA;19954;10.615.866/0001-60;IRREGULAR;NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE COMPANY JAGUARIUNA SALA 01;5003331.0;10.615.866/0001-60;FECHADO;2011-08-29;2008-12-16;162.0;0.0;0.0;0.0;NÃO;NÃO;NÃO;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA.;19955;FECHADO;2011-08-29;0;RUA CANDIDO BUENO, 1299  SALA CINEMA;0.0;0;CENTRO;JAGUARIÚNA;13820-000;SP;NÃO;COMERCIAL;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA;19954;10.615.866/0001-60;IRREGULAR;NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
PARK SHOPPING 01;5003401.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;402.0;8.0;5.0;5.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 02;5003402.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;370.0;8.0;4.0;4.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 03;5003403.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;245.0;5.0;3.0;3.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 04;5003404.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;332.0;5.0;3.0;3.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 05;5003405.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;210.0;4.0;3.0;3.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 06;5003406.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;137.0;3.0;1.0;1.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 07;5003407.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;150.0;3.0;1.0;1.0;NÃO;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PATIO UBERLANDIA 1;5003547.0;00.779.721/0055-34;EM FUNCIONAMENTO;2021-11-27;2012-03-30;313.0;6.0;4.0;4.0;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;2021-11-27;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15.0;0;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PATIO UBERLANDIA 2;5003548.0;00.779.721/0055-34;EM FUNCIONAMENTO;2021-11-27;2012-03-30;246.0;5.0;3.0;3.0;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;2021-11-27;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15.0;0;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PATIO UBERLANDIA 3;5003549.0;00.779.721/0055-34;EM FUNCIONAMENTO;2021-11-27;2012-03-30;246.0;5.0;3.0;3.0;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;2021-11-27;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15.0;0;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PATIO UBERLANDIA 4;5003550.0;00.779.721/0055-34;EM FUNCIONAMENTO;2021-11-27;2012-03-30;246.0;5.0;3.0;3.0;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;2021-11-27;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15.0;0;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PATIO UBERLANDIA 5;5003551.0;00.779.721/0055-34;EM FUNCIONAMENTO;2021-11-27;2012-03-30;299.0;6.0;3.0;3.0;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;2021-11-27;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15.0;0;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 01;5005798.0;00.779.721/0075-88;EM FUNCIONAMENTO;2021-04-24;2017-06-15;116.0;5.0;2.0;4.0;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;2021-04-24;0;AVENIDA ANTARTICA;408.0;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 02;5005799.0;00.779.721/0075-88;EM FUNCIONAMENTO;2021-04-24;2017-06-15;116.0;5.0;2.0;4.0;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;2021-04-24;0;AVENIDA ANTARTICA;408.0;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 03;5005800.0;00.779.721/0075-88;EM FUNCIONAMENTO;2021-04-24;2017-06-15;135.0;4.0;1.0;2.0;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;2021-04-24;0;AVENIDA ANTARTICA;408.0;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 04;5005801.0;00.779.721/0075-88;EM FUNCIONAMENTO;2021-04-24;2017-06-15;135.0;4.0;1.0;2.0;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;2021-04-24;0;AVENIDA ANTARTICA;408.0;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 05;5005802.0;00.779.721/0075-88;EM FUNCIONAMENTO;2021-04-24;2017-06-15;203.0;5.0;2.0;3.0;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;2021-04-24;0;AVENIDA ANTARTICA;408.0;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 06;5005803.0;00.779.721/0075-88;EM FUNCIONAMENTO;2021-04-24;2017-06-15;218.0;5.0;2.0;3.0;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;2021-04-24;0;AVENIDA ANTARTICA;408.0;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 07;5005804.0;00.779.721/0075-88;EM FUNCIONAMENTO;2021-04-24;2017-06-15;305.0;7.0;3.0;3.0;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;2021-04-24;0;AVENIDA ANTARTICA;408.0;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 01;5003426.0;00.779.721/0053-72;EM FUNCIONAMENTO;2021-04-24;2011-11-29;369.0;6.0;4.0;4.0;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;2021-04-24;0;RUA CAPITÃO PACHECO E CHAVES;313.0;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 02;5003427.0;00.779.721/0053-72;EM FUNCIONAMENTO;2021-04-24;2011-11-29;162.0;3.0;1.0;2.0;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;2021-04-24;0;RUA CAPITÃO PACHECO E CHAVES;313.0;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 03;5003428.0;00.779.721/0053-72;EM FUNCIONAMENTO;2021-04-24;2011-11-29;258.0;5.0;3.0;3.0;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;2021-04-24;0;RUA CAPITÃO PACHECO E CHAVES;313.0;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 04;5003429.0;00.779.721/0053-72;EM FUNCIONAMENTO;2021-04-24;2011-11-29;176.0;4.0;1.0;2.0;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;2021-04-24;0;RUA CAPITÃO PACHECO E CHAVES;313.0;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 05;5003430.0;00.779.721/0053-72;EM FUNCIONAMENTO;2021-04-24;2011-11-29;176.0;4.0;1.0;2.0;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;2021-04-24;0;RUA CAPITÃO PACHECO E CHAVES;313.0;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 06;5003431.0;00.779.721/0053-72;EM FUNCIONAMENTO;2021-04-24;2011-11-29;176.0;4.0;1.0;2.0;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;2021-04-24;0;RUA CAPITÃO PACHECO E CHAVES;313.0;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 01;5004261.0;00.779.721/0060-00;EM FUNCIONAMENTO;2021-08-06;2013-06-22;205.0;4.0;0.0;0.0;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;2021-08-06;0;AV. THEODORO VICTORELLI;150.0;0;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 02;5004262.0;00.779.721/0060-00;EM FUNCIONAMENTO;2021-08-06;2013-06-22;192.0;4.0;0.0;0.0;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;2021-08-06;0;AV. THEODORO VICTORELLI;150.0;0;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 04;5004264.0;00.779.721/0060-00;EM FUNCIONAMENTO;2021-08-06;2013-06-22;268.0;4.0;0.0;0.0;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;2021-08-06;0;AV. THEODORO VICTORELLI;150.0;0;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 05;5004265.0;00.779.721/0060-00;EM FUNCIONAMENTO;2021-08-06;2013-06-22;233.0;4.0;0.0;0.0;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;2021-08-06;0;AV. THEODORO VICTORELLI;150.0;0;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 06;5004266.0;00.779.721/0060-00;EM FUNCIONAMENTO;2021-08-06;2013-06-22;173.0;4.0;0.0;0.0;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;2021-08-06;0;AV. THEODORO VICTORELLI;150.0;0;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 07;5004267.0;00.779.721/0060-00;EM FUNCIONAMENTO;2021-08-06;2013-06-22;439.0;4.0;0.0;0.0;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;2021-08-06;0;AV. THEODORO VICTORELLI;150.0;0;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 3;5004263.0;00.779.721/0060-00;EM FUNCIONAMENTO;2021-08-06;2013-06-22;325.0;4.0;0.0;0.0;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;2021-08-06;0;AV. THEODORO VICTORELLI;150.0;0;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 01;5004255.0;00.779.721/0062-63;EM FUNCIONAMENTO;2021-06-07;2013-03-15;386.0;4.0;0.0;0.0;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;2021-06-07;0;AV. DOM PEDRO I;7181.0;0;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 02;5004256.0;00.779.721/0062-63;EM FUNCIONAMENTO;2021-06-07;2013-03-15;192.0;4.0;0.0;0.0;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;2021-06-07;0;AV. DOM PEDRO I;7181.0;0;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 03;5004257.0;00.779.721/0062-63;EM FUNCIONAMENTO;2021-06-07;2013-03-15;192.0;4.0;0.0;0.0;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;2021-06-07;0;AV. DOM PEDRO I;7181.0;0;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 04;5004258.0;00.779.721/0062-63;EM FUNCIONAMENTO;2021-06-07;2013-03-15;177.0;4.0;0.0;0.0;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;2021-06-07;0;AV. DOM PEDRO I;7181.0;0;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 05;5004259.0;00.779.721/0062-63;EM FUNCIONAMENTO;2021-06-07;2013-03-15;177.0;4.0;0.0;0.0;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;2021-06-07;0;AV. DOM PEDRO I;7181.0;0;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 06;5004260.0;00.779.721/0062-63;EM FUNCIONAMENTO;2021-06-07;2013-03-15;162.0;4.0;0.0;0.0;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;2021-06-07;0;AV. DOM PEDRO I;7181.0;0;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 01;5003634.0;00.779.721/0058-87;EM FUNCIONAMENTO;2021-04-24;2012-11-04;90.0;2.0;1.0;1.0;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;2021-04-24;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900.0;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 02;5003635.0;00.779.721/0058-87;EM FUNCIONAMENTO;2021-04-24;2012-11-04;90.0;2.0;1.0;1.0;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;2021-04-24;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900.0;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 03;5003636.0;00.779.721/0058-87;EM FUNCIONAMENTO;2021-04-24;2012-11-04;90.0;2.0;1.0;1.0;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;2021-04-24;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900.0;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
VILLAGE MALL 04;5003637.0;00.779.721/0058-87;EM FUNCIONAMENTO;2021-04-24;2012-11-04;76.0;2.0;1.0;1.0;SIM;NÃO;SIM;2106 CINEMARK VILLAGE MALL;22951;EM FUNCIONAMENTO;2021-04-24;WWW.CINEMARK.COM.BR;AV DAS AMÉRICAS ;3900.0;3º ANDAR LJ 305;BARRA DA TIJUCA ;RIO DE JANEIRO;22640-102;RJ;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 1;5004221.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;102.0;3.0;1.0;1.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 10;5004230.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;161.0;4.0;1.0;1.0;NÃO;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 11;5004231.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;231.0;5.0;3.0;3.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 12;5004232.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;486.0;8.0;5.0;5.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 2;5004222.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;116.0;4.0;1.0;1.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 3;5004223.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;231.0;5.0;3.0;3.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 4;5004224.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;231.0;5.0;3.0;3.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 5;5004225.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;152.0;4.0;1.0;1.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK RIOMAR RECIFE 6;5004226.0;00.779.721/0059-68;EM FUNCIONAMENTO;2021-06-24;2012-12-21;152.0;4.0;1.0;1.0;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;24763;EM FUNCIONAMENTO;2021-06-24;www.cinemark,com.br;AVENIDA REPUBLICA DO LIBANO;251.0;L4, Lj. 4001;PINA;RECIFE;51110-160;PE;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
